Fecha,Equipo,Componente,Aceite Lubricante,nflota,cambioLubricanate,Contenido de agua %,Punto de inflamacion °C,Glicol %,Nitracion A/cm,Oxidación A/cm,Hollín %,Sulfatacion A/cm,Diesel %,N de part >4µm,N° de part >6µm,N° de part>14µm,Código ISO 4406,Viscosidad 100°C cSt(mm2/s),Viscosidad 40°C cSt(mm2/s),TAN mg KOH/g,TBN mg KOH/g,Plata (Ag) ppm,Aluminio (Al) ppm,Bario (Ba) ppm,Boro (B) ppm,Calcio (Ca) ppm,Cromo (Cr) ppm,Cobre (Cu) ppm,Hierro (Fe) ppm,Potasio (K) ppm,Magnesio (Mg) ppm,Molibdeno (Mo) ppm,Sodio (Na) ppm,Níquel (Ni) ppm,Plomo (Pb) ppm,Fósforo (P) ppm,Silicio (Si) ppm,Estaño (Sn) ppm,Titanio (Ti) ppm,Vanadio (V) ppm,Zinc (Zn) ppm,Residuo Ferroso Total mg/kg,Numero Muestra,Numero Registro,Numero Serie Equipo,Criticidad
2025-04-24 11:43:21.399850,KOMATSU 930E-4SE,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,RT3,Muestreo,0.22,226,0.05,0,3,0.45,3,0.87,7657,630,658,19/17/15,11.24,86.92,0.35,9,2,7,2,3,405,3,5,38,9,6,4,20,8,9,2,4,6,9,7,21,15,D00731,0000731,LAJ673,Normal
2025-04-24 11:48:21.399850,CAEX,MOTOR,MOBIL DELVAC 15W40,G127,Cambio Aceite,0.22,248,0.05,1,4,0.45,0,0.87,8414,4392,633,18/19/16,11.24,86.92,2.52,5,1,14,4,7,137,9,29,183,3,6,3,13,1,3,7,17,3,3,3,82,432,C00732,0000732,LAJ059,Atencion
2025-04-24 11:53:21.399850,KOMATSU 930 E4,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,511,Cambio Aceite,0.22,205,0.05,3,2,0.45,1,0.87,2249,3480,495,19/16/15,11.24,86.92,0.9,6,2,3,6,7,178,8,11,79,8,0,1,13,7,2,9,14,0,7,1,74,70,C00733,0000733,LAJ609,Normal
2025-04-24 11:58:21.399850,KOMATSU 960 E2-K,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,G126,Muestreo,0.22,240,0.05,0,2,0.45,0,0.87,1618,4727,648,19/17/15,11.24,86.92,1.24,1,1,5,1,1,31,2,2,17,5,9,1,1,0,2,7,12,6,1,8,29,157,C00734,0000734,LAJ941,Normal
2025-04-24 12:03:21.399850,CATERPILLAR 988H,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,913,Muestreo,0.22,184,0.05,0,3,0.45,4,0.87,1451,1897,689,21/18/15,11.24,86.92,1.77,7,3,1,9,0,79,0,2,2,0,1,0,0,2,7,6,9,2,9,6,24,183,E00735,0000735,LAJ943,Normal
2025-04-24 12:08:21.399850,KOMATSU 980 E5,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,RT2,Cambio Aceite,0.22,237,0.05,1,3,0.45,0,0.87,8719,1223,903,21/19/16,11.24,86.92,2.26,8,0,17,4,5,321,6,24,190,4,9,2,18,0,7,8,17,5,2,8,75,483,B00736,0000736,LAJ236,Atencion
2025-04-24 12:13:21.399850,CATERPILLAR 988H,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,G129,Cambio Aceite,0.22,230,0.05,3,0,0.45,1,0.87,5021,3396,916,21/18/16,11.24,86.92,3.51,7,3,22,4,5,221,5,33,223,5,6,8,12,6,4,4,32,2,3,2,22,585,A00737,0000737,LAJ402,Critico
2025-04-24 12:18:21.399850,CAEX,MANDO FINAL TRA.IZQ,MOBIL MOBILTRANS HD 30,915,Cambio Aceite,0.22,209,0.05,0,4,0.45,0,0.87,4659,2389,356,21/16/15,11.24,86.92,1.27,9,2,1,3,5,218,9,13,45,1,6,7,1,6,6,2,0,4,0,0,27,144,A00738,0000738,LAJ711,Normal
2025-04-24 12:23:21.399850,KOMATSU 930-E4,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,RT1,Muestreo,0.22,234,0.05,4,0,0.45,3,0.87,3886,4369,989,18/17/15,11.24,86.92,2.46,6,0,10,2,5,735,4,23,116,9,6,4,4,9,5,8,20,2,3,5,22,421,C00739,0000739,LAJ696,Atencion
2025-04-24 12:28:21.399850,KOMATSU 930 E3,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,911,Muestreo,0.22,199,0.05,2,1,0.45,0,0.87,1261,1555,218,19/16/14,11.24,86.92,3.49,2,3,24,0,7,710,1,49,264,3,0,6,2,1,8,6,41,2,5,1,79,549,D00740,0000740,LAJ178,Critico
2025-04-24 12:33:21.399850,KOMATSU 950 E3,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,915,Muestreo,0.22,187,0.05,0,0,0.45,3,0.87,6052,2667,307,21/16/14,11.24,86.92,0.56,6,4,8,6,5,23,2,11,45,7,6,7,29,4,0,5,12,1,1,6,60,33,B00741,0000741,LAJ588,Normal
2025-04-24 12:38:21.399850,KOMATSU 930E-4SE,MOTOR TRACCION DER,MOBIL SHC GEAR 680,RT3,Cambio Aceite,0.22,221,0.05,0,0,0.45,0,0.87,2617,596,599,20/19/16,11.24,86.92,0.35,5,3,1,6,5,212,9,7,24,6,7,0,22,9,4,5,6,1,1,4,41,119,E00742,0000742,LAJ657,Normal
2025-04-24 12:43:21.399850,KOMATSU 980 E5,MOTOR,MOBIL DELVAC 15W40,515,Cambio Aceite,0.22,245,0.05,0,3,0.45,1,0.87,7744,3744,978,18/18/13,11.24,86.92,2.41,9,3,15,0,2,952,9,28,120,8,5,0,4,5,0,9,16,3,8,9,64,370,D00743,0000743,LAJ287,Atencion
2025-04-24 12:48:21.399850,CATERPILLAR 797F,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,RT3,Cambio Aceite,0.22,236,0.05,4,0,0.45,3,0.87,5051,4361,124,20/19/16,11.24,86.92,1.11,9,4,3,5,9,5,1,10,86,3,3,2,27,2,3,4,12,0,8,4,75,177,C00744,0000744,LAJ297,Normal
2025-04-24 12:53:21.399850,CATERPILLAR 988H,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,911,Muestreo,0.22,229,0.05,1,0,0.45,0,0.87,3802,3790,294,20/17/16,11.24,86.92,1.51,3,4,2,2,3,920,5,14,6,3,0,8,20,2,9,7,6,8,8,3,2,40,A00745,0000745,LAJ150,Normal
2025-04-24 12:58:21.399850,KOMATSU 960 E2-K,MOTOR TRACCION DER,MOBIL SHC GEAR 680,511,Cambio Aceite,0.22,239,0.05,1,2,0.45,1,0.87,6352,1584,617,19/19/13,11.24,86.92,1.55,0,0,2,0,5,832,1,5,56,0,7,9,15,8,1,7,5,9,4,5,39,27,B00746,0000746,LAJ405,Normal
2025-04-24 13:03:21.399850,KOMATSU 960 E2-K,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,915,Muestreo,0.22,202,0.05,3,3,0.45,0,0.87,9773,2870,261,20/18/13,11.24,86.92,1.43,3,1,5,4,4,65,8,3,71,1,8,4,24,4,5,1,6,9,1,3,39,150,C00747,0000747,LAJ315,Normal
2025-04-24 13:08:21.399850,CATERPILLAR 24M,MANDO FINAL TRA.DER,MOBIL MOBILTRANS HD 30,515,Muestreo,0.22,188,0.05,2,0,0.45,0,0.87,2656,4479,520,19/18/16,11.24,86.92,1.96,3,0,3,9,9,226,0,11,75,1,8,7,10,1,3,9,13,6,8,1,72,197,E00748,0000748,LAJ580,Normal
